rt_name,perplexity,avg_log_likelihood,molecular_weight,aromaticity,instability_index,isoelectric_point,helix,turn,sheet,gravy,arginine_r_charge,lysine_k_charge,aspartate_d_charge,glutamate_e_charge,native_net_charge,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,clash_binary,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,n_hydrophobic_contacts,n_salt_bridges,n_hbonds,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic,pocket_salt_bridges,pocket_hbonds,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_hydrophobic_fraction,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,best_confidence,best_s1_len,best_turn_len,best_s2_len,n_strands_total,n_hairpins_found,pct_E,pct_H,thumb_total_residues,thumb_surface_residues,thumb_surface_positive,thumb_surface_negative,thumb_surface_net_charge,thumb_charge_ratio,thumb_fident,thumb_charge_class_num,has_dgr_motif,ramachandran_favoured,ramachandran_allowed,ramachandran_outliers,g_factor_dihedrals,g_factor_covalent,g_factor_overall,camsol_score,camsol_mean_profile,camsol_min_profile,camsol_frac_poor,camsol_frac_good,sasa_total,sasa_avg,sasa_high_pct,sasa_medium_pct,sasa_low_pct,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,qg_motif_found,sp_motif_found,sp_s_is_helix,sp_p_is_helix,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rnaseH_dedd_found,rnaseH_dedd_rmsd,palm_rnaseH_contact_density,rnaseH_cterminal_helix_frac,palm_rnaseH_com_dist,palm_internal_rmsd,palm_contact_entropy,palm_plddt_mean,palm_plddt_cv,palm_charge_density_pos,palm_charge_density_neg
A.platensis-Cas1-RT,7.073275089263916,-1.9563236236572263,31155.3486,0.1043165467625899,41.65183453237411,6.113795280456542,0.3165467625899281,0.2446043165467625,0.4172661870503597,0.0118705035971222,20,9,14,18,-3,0.8797,0.8276,0.8228,0.8143,0.4926,0.1954,0.1309,0.07932,0.03345,2,0,1.0,11.5889,3.8325,7.4584,163.0,6.0,435.0,0.586,0.0216,1.565,9.0,0.0,12.0,0.409,0.545,0.4101,0.0119,3.1276,0.6667,1.2889,1.0,0.727,7.0,5.0,6.0,11.0,1.0,18.8,45.5,,,,,,,,,0,94.7,5.3,0.0,0.09,-0.02,0.03,0.2775,-0.2616873286673748,-2.2426819417420445,0.2050359712230215,0.0683453237410072,2352.1,117.61,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.938,0.7883,0.281,0.7081,0.6936,0.6689,0.8251,0.5711,0.938,0.8278,1.0,5.75241763633338,0.0509090909090909,0.795,2.962077592668088,10.911463977350987,3.927599155314725,0.9232231404958676,0.0416890213961684,0.0826446280991735,0.1157024793388429
AFY36037.1-RT,4.37030553817749,-1.4748328924179075,26289.964,0.1017699115044247,45.812389380530966,10.414819145202635,0.3141592920353982,0.2389380530973451,0.3716814159292035,-0.3942477876106195,22,13,13,6,16,0.6142,0.5676,0.4957,0.4921,0.363,0.2561,0.147,0.00993,0.001999,2,0,1.0,26.9361,3.8203,18.1213,100.0,4.0,342.0,0.442,0.0177,1.513,4.0,0.0,12.0,0.222,0.667,0.4027,-0.3942,3.2604,0.5714,0.6643,0.0,,,,,7.0,0.0,15.1,52.0,,,,,,,,,1,90.4,8.7,1.0,0.09,-0.38,-0.1,1.163689,-0.0348964812690175,-2.671303083789491,0.1283185840707964,0.1283185840707964,2595.36,129.77,30.0,55.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7864,0.6863,0.161,0.7666,0.7653,0.6804,0.7227,0.5479,0.7864,0.7272,1.0,4.279993073160518,0.0437190082644628,0.86,8.747558022823723,9.678892067550676,3.9272648382020856,0.8077685950413223,0.2260386868133511,0.1652892561983471,0.0991735537190082
ASLV-RT,9.393178939819336,-2.2399837970733643,62886.19409999999,0.0769230769230769,44.97361888111895,6.504790687561035,0.3496503496503496,0.2622377622377622,0.3863636363636363,0.0636363636363636,31,23,25,32,-3,0.6316,0.4708,0.4257,0.5723,0.3353,0.7082,0.8049,0.2842,0.1978,1,1,1.0,5.9688,3.8179,0.2268,376.0,12.0,737.0,0.657,0.021,1.288,10.0,0.0,17.0,0.435,0.739,0.4231,0.0636,3.0196,0.5789,0.9211,1.0,0.79,5.0,5.0,5.0,25.0,4.0,23.1,35.0,70.0,48.0,7.0,7.0,0.0,1.0,0.229,0.0,0,90.8,9.0,0.2,-0.08,-0.31,-0.19,-0.76549,-0.2689974793461915,-2.454570270016589,0.2115384615384615,0.0664335664335664,2937.61,146.88,40.0,60.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344,0.7796,0.309,0.9344,0.9311,0.8359,0.6563,0.7456,0.6675,0.5626,1.0,5.625124271817181,0.0,0.765,53.76352948175369,12.524250873760204,3.952507802823715,0.9534710743801652,0.0297474848731711,0.1157024793388429,0.0991735537190082
AVIRE-RT,4.599065780639648,-1.525853157043457,77034.3923,0.0735930735930736,42.47012987012997,6.9648454666137685,0.3578643578643579,0.2568542568542568,0.3809523809523809,-0.2266955266955267,45,33,35,44,-1,0.4672,0.5492,0.5717,0.7853,0.6013,0.8282,0.84,0.386,0.2096,1,1,1.0,6.1404,3.8527,0.1852,377.0,20.0,921.0,0.544,0.0289,1.329,16.0,0.0,13.0,0.667,0.542,0.3824,-0.2267,3.0304,0.6,1.095,1.0,0.765,5.0,6.0,5.0,24.0,6.0,23.0,35.8,87.0,53.0,8.0,5.0,3.0,1.6,0.505,1.0,0,91.7,8.0,0.3,-0.04,-0.35,-0.18,0.532101,-0.005193333779992,-2.2931045774765533,0.1269841269841269,0.1399711399711399,2771.97,138.6,40.0,55.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9678,0.8516,0.603,0.9647,0.9678,0.9572,0.7711,0.7082,0.6582,0.5408,1.0,3.541100010707121,0.0,0.785,72.90444463884444,12.095580668981972,3.946315677991183,0.9586776859504134,0.0272517437064438,0.1074380165289256,0.140495867768595
Abi-RT,14.774211883544922,-2.692883253097534,36263.8517,0.0952380952380952,32.23339682539682,8.455109214782716,0.326984126984127,0.2666666666666666,0.3746031746031746,-0.5396825396825397,15,31,21,22,3,0.1474,0.07515,0.08933,0.03547,0.04808,0.06521,0.01785,0.01401,0.0172,0,0,1.0,44.4348,3.8313,27.1487,132.0,17.0,515.0,0.419,0.054,1.635,13.0,0.0,13.0,0.722,0.722,0.3365,-0.5397,3.1401,0.5714,1.1286,1.0,0.675,4.0,2.0,4.0,6.0,1.0,14.3,52.2,63.0,58.0,10.0,7.0,3.0,1.429,0.126,1.0,0,92.8,6.9,0.3,0.11,-0.16,0.01,1.231134,0.0853147888748678,-2.089162974138474,0.1142857142857142,0.1714285714285714,2437.99,121.9,35.0,40.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7568,0.5279,0.135,0.7047,0.6961,0.4734,0.7541,0.4228,0.7568,0.5732,1.0,16.935191323659573,0.0449173553719008,0.865,5.043055914908749,11.265334793379395,3.934962065256438,0.8993388429752066,0.0939348996283125,0.1735537190082644,0.1570247933884297
BAEMV-RT,3.863266706466675,-1.351513147354126,76835.1157,0.0754716981132075,41.78098693759086,8.006151390075683,0.3381712626995646,0.2554426705370102,0.3773584905660377,-0.344267053701016,38,40,37,39,2,0.541,0.6822,0.6048,0.8237,0.5548,0.833,0.8123,0.2282,0.09436,2,0,1.0,6.1124,3.8391,0.1996,352.0,17.0,914.0,0.511,0.0247,1.327,19.0,0.0,14.0,0.792,0.583,0.3599,-0.3443,2.9962,0.6,1.095,1.0,0.75,5.0,6.0,5.0,24.0,6.0,23.0,37.4,86.0,55.0,10.0,7.0,3.0,1.429,0.662,1.0,0,88.7,10.5,0.8,-0.09,-0.42,-0.22,0.789726,-0.0061306279481462,-2.345839985068659,0.127721335268505,0.1233671988388969,2647.47,132.37,25.0,70.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.8752,0.741,0.9756,0.98,0.9673,0.7723,0.593,0.6577,0.5771,1.0,4.877621276394568,0.0,0.785,71.38323459686062,12.104414225087949,3.948544736224547,0.9657851239669424,0.0268476749031848,0.1570247933884297,0.1157024793388429
BLV-RT,12.167980194091797,-2.498807907104492,65368.1957,0.0924657534246575,62.81780821917829,6.873846244812013,0.3047945205479452,0.2945205479452055,0.3801369863013698,-0.1657534246575343,31,14,23,24,-2,0.8775,0.7637,0.7254,0.7468,0.4875,0.8038,0.9293,0.3914,0.1363,1,1,1.0,6.7487,3.7806,0.4577,312.0,8.0,775.0,0.534,0.0137,1.327,15.0,0.0,11.0,0.682,0.5,0.3767,-0.1658,2.9862,0.5556,1.1833,1.0,0.78,5.0,5.0,5.0,27.0,6.0,22.5,37.2,76.0,46.0,6.0,5.0,1.0,1.2,0.22,0.0,0,91.4,8.3,0.2,-0.1,-0.53,-0.28,-0.398653,-0.2320647646428694,-2.091797682716102,0.1763698630136986,0.0873287671232876,2597.38,129.87,40.0,50.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9063,0.7304,0.285,0.9031,0.9063,0.8455,0.6878,0.5691,0.6637,0.5709,1.0,2.846953049560856,0.0,0.8,45.713818451159575,12.6496213091778,3.9452453278880624,0.9222314049586776,0.0401017337144137,0.1239669421487603,0.0743801652892562
Bel-RT,5.843635559082031,-1.765353083610535,52305.7025,0.0862068965517241,39.95239224137929,8.396571922302247,0.3060344827586207,0.2737068965517241,0.3987068965517241,-0.0954741379310345,30,23,28,21,4,0.575,0.8018,0.8066,0.8197,0.7892,0.8257,0.951,0.8933,0.8736,3,0,1.0,5.6213,3.8248,0.2145,232.0,12.0,613.0,0.5,0.0259,1.321,10.0,0.0,13.0,0.435,0.565,0.3987,-0.0955,3.1091,0.6842,1.1053,1.0,0.775,4.0,8.0,4.0,16.0,2.0,22.5,41.5,56.0,40.0,5.0,5.0,0.0,1.0,0.114,0.0,0,93.0,6.8,0.2,0.01,-0.12,-0.04,-0.431771,-0.226572609398387,-2.5303924830640523,0.1875,0.0905172413793103,2389.14,119.46,25.0,50.0,25.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8537,0.5443,0.098,0.8537,0.8393,0.8375,0.6579,0.4585,0.5673,0.5375,1.0,9.534151915348907,8.264462809917356e-05,0.765,35.320025660968504,12.077124279410766,3.961459293112908,0.9467768595041324,0.0882358023549129,0.1570247933884297,0.140495867768595
CHLRE,14.97994327545166,-2.706712245941162,42403.9089,0.1117166212534059,46.75722070844685,9.559388160705566,0.329700272479564,0.2016348773841962,0.4114441416893732,-0.0874659400544959,13,22,13,8,14,0.8771,0.9131,0.7468,0.6032,0.2617,0.1174,0.2243,0.1519,0.1244,2,0,0.0,,,,227.0,6.0,584.0,0.619,0.0163,1.591,0.0,0.0,0.0,0.0,0.0,0.4196,-0.0875,3.1094,,,1.0,0.685,7.0,5.0,6.0,10.0,1.0,15.6,51.6,97.0,55.0,8.0,8.0,0.0,1.0,0.098,0.0,0,87.8,10.1,2.1,-0.05,-0.61,-0.25,-1.68798,-0.5950542591477369,-2.702570858845654,0.3024523160762943,0.0272479564032697,2224.42,111.22,15.0,70.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8135,0.6196,0.125,0.6559,0.6621,0.5051,0.7484,0.5746,0.8135,0.751,1.0,5.677207774011794,0.0008737864077669,0.795,29.199222404306298,9.168721319334352,3.9731364557055713,0.7688349514563105,0.1888966158982613,0.145631067961165,0.087378640776699
CRISPRRT2-RT,5.294905662536621,-1.6667451858520508,36247.173,0.0877742946708464,29.598746081504693,8.808073616027833,0.2727272727272727,0.2821316614420063,0.3887147335423198,-0.215987460815047,19,22,21,16,4,0.2064,0.1278,0.06472,0.04293,0.01897,0.0133,0.004877,0.002055,0.0005113,0,0,1.0,14.9349,3.8714,9.4629,176.0,7.0,492.0,0.552,0.0219,1.542,11.0,0.0,11.0,0.478,0.478,0.3856,-0.216,3.2503,0.6842,1.2947,1.0,0.664,7.0,5.0,6.0,11.0,1.0,16.4,46.5,10.0,10.0,2.0,3.0,-1.0,0.667,0.2,0.0,0,91.0,8.7,0.3,0.07,-0.2,-0.03,0.53376,-0.0977203090821292,-2.511093076802456,0.1818181818181818,0.1128526645768025,2228.23,111.41,20.0,55.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9155,0.7941,0.248,0.6902,0.6958,0.5897,0.852,0.5512,0.9155,0.7676,1.0,10.30784514166341,0.0490082644628099,0.815,7.83525200038299,10.89127398312626,3.937065253172293,0.9471900826446282,0.0388258564741568,0.0991735537190082,0.1322314049586777
CaMV-RT,8.462363243103027,-2.135628461837769,78785.1575,0.0967741935483871,38.80029325513207,9.207777595520016,0.3343108504398827,0.2580645161290322,0.3651026392961876,-0.4670087976539589,27,75,34,47,21,0.4656,0.4951,0.3548,0.5784,0.5919,0.7861,0.7854,0.7201,0.3788,1,1,1.0,17.6487,3.844,10.887,313.0,30.0,865.0,0.459,0.044,1.268,16.0,0.0,12.0,0.696,0.522,0.3578,-0.467,3.1715,0.7368,1.8,1.0,0.818,3.0,4.0,3.0,30.0,7.0,25.7,33.0,87.0,55.0,11.0,6.0,5.0,1.833,0.252,1.0,0,86.4,11.5,2.1,-0.14,-0.92,-0.44,0.498119,0.0255359634678044,-2.567582514309269,0.1524926686217008,0.1495601173020528,2911.44,145.57,45.0,55.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9014,0.7026,0.229,0.9014,0.8859,0.8711,0.7359,0.5774,0.6609,0.5473,1.0,11.760030585847176,0.0007438016528925,0.8,35.24545234762121,10.5157289661588,3.9467050068081857,0.9488429752066116,0.0396240889043366,0.1735537190082644,0.1074380165289256
DRG2-RT,3.685216188430786,-1.3043292760849,38790.8321,0.0833333333333333,51.28333333333332,10.23005275726318,0.3333333333333333,0.2261904761904762,0.3601190476190476,-0.2657738095238096,36,19,18,14,23,0.6287,0.5901,0.5363,0.4565,0.1982,0.1176,0.08559,0.0009921,0.000181,2,0,1.0,14.91,3.8574,9.586,193.0,11.0,582.0,0.574,0.0327,1.732,13.0,0.0,17.0,0.5,0.654,0.4107,-0.2658,3.2479,0.5909,0.6955,1.0,0.737,6.0,5.0,6.0,9.0,1.0,14.3,55.2,49.0,35.0,9.0,3.0,6.0,3.0,0.161,1.0,1,97.3,2.3,0.3,0.19,0.02,0.11,0.981695,-0.0424270290097804,-2.20011292831625,0.1369047619047619,0.1071428571428571,2448.75,122.44,25.0,50.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9017,0.7327,0.18,0.6442,0.651,0.6326,0.7757,0.4873,0.9017,0.7475,1.0,6.478797318166558,0.0453719008264462,0.84,9.229370641481584,10.126162424825562,3.930437135958579,0.935785123966942,0.0248344955158383,0.1570247933884297,0.1157024793388429
Drg-RT,3.09935998916626,-1.1311956644058228,37903.0829,0.1131498470948012,31.130305810397548,9.49717617034912,0.3363914373088685,0.2262996941896024,0.3700305810397553,-0.3935779816513762,30,20,18,19,13,0.5744,0.4464,0.2869,0.2994,0.1324,0.1134,0.04143,0.00544,0.006399,0,0,1.0,5.5865,3.8276,0.1901,174.0,11.0,579.0,0.532,0.0336,1.771,9.0,0.0,13.0,0.391,0.565,0.3792,-0.3936,3.1332,0.5789,0.7053,1.0,0.77,6.0,3.0,6.0,9.0,1.0,16.3,56.1,44.0,37.0,6.0,7.0,-1.0,0.857,0.083,0.0,1,94.2,5.4,0.3,0.19,-0.34,-0.04,0.991933,0.0001630209862653,-1.796223566667306,0.1437308868501529,0.1651376146788991,2336.67,116.83,20.0,65.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9064,0.7469,0.163,0.6285,0.6344,0.5911,0.7793,0.4928,0.9064,0.7458,1.0,8.130937302518573,0.0491735537190082,0.825,8.965724758073591,10.177940091504905,3.9260285924572154,0.9104958677685948,0.0339137835430331,0.1900826446280991,0.1157024793388429
Ec48-RT,9.456342697143556,-2.246685743331909,46802.923,0.0835380835380835,41.39164619164619,9.67130527496338,0.3464373464373464,0.2628992628992629,0.3636363636363636,-0.3845208845208845,26,47,23,23,27,0.06968,0.04422,0.0734,0.03698,0.04064,0.03794,0.01277,0.01038,0.00441,0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735,-0.3845,3.2278,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,0.798993,0.0315387166245062,-2.437843689131926,0.1105651105651105,0.1154791154791154,2943.82,147.19,35.0,60.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.874,0.6618,0.159,0.6816,0.6685,0.7069,0.874,0.5034,0.782,0.606,1.0,7.370194630999543,0.0212132352941176,0.87,26.30767723860156,9.917564003283662,3.9186578099241336,0.9533823529411763,0.0383752976911403,0.1691176470588235,0.1617647058823529
Ec67-RT,9.759358406066896,-2.278226613998413,67232.90139999999,0.1058020477815699,27.124249146757677,9.460816001892091,0.3174061433447099,0.2815699658703071,0.3890784982935154,-0.4390784982935153,31,67,41,26,31,0.1441,0.1337,0.1362,0.09058,0.05974,0.02751,0.01825,0.01718,0.009707,0,0,1.0,8.4578,3.8425,4.8225,294.0,16.0,875.0,0.502,0.0273,1.493,3.0,0.0,11.0,0.158,0.579,0.3567,-0.4391,3.1564,0.4667,0.72,1.0,0.713,7.0,5.0,7.0,22.0,2.0,17.3,47.2,45.0,36.0,7.0,6.0,1.0,1.167,0.155,0.0,0,91.9,7.3,0.8,0.05,-0.26,-0.07,0.289514,0.0183430253530876,-2.6127613856108383,0.151877133105802,0.167235494880546,2385.24,119.26,30.0,40.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.848,0.6292,0.204,0.6666,0.6729,0.5959,0.848,0.5518,0.7615,0.5901,1.0,14.178480741491242,0.0,0.83,55.49742866946105,10.271963157551594,3.9189909728405743,0.9825619834710744,0.0082265900660386,0.1074380165289256,0.0909090909090909
Er-RT,1.1732090711593628,-0.159742847084999,48876.1268,0.0845070422535211,28.218333333333337,9.584530830383295,0.3145539906103286,0.272300469483568,0.3544600938967136,-0.4460093896713615,31,39,25,22,23,0.2112,0.1483,0.1127,0.1426,0.136,0.04771,0.01169,0.002161,0.0001397,0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3638,-0.446,3.1923,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,0.887788,0.071069550468345,-2.820614300231345,0.136150234741784,0.1619718309859155,2093.95,104.7,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271,1.0,19.57781093318104,0.0213636363636363,0.845,30.03040327976057,11.371189380605571,3.9359618621260206,0.8242148760330578,0.230887589786569,0.140495867768595,0.1487603305785124
FENV1-RT,3.67293643951416,-1.3009915351867676,74381.3548,0.0749625187406296,41.31409295352336,8.52421932220459,0.3463268365817091,0.2503748125937031,0.368815592203898,-0.3713643178410795,39,40,35,39,5,0.5517,0.6564,0.5848,0.8133,0.5344,0.8242,0.7641,0.1733,0.08203,2,0,1.0,6.1297,3.845,0.1886,349.0,14.0,877.0,0.523,0.021,1.315,19.0,0.0,14.0,0.792,0.583,0.3598,-0.3714,2.988,0.6,1.095,1.0,0.77,5.0,6.0,5.0,25.0,6.0,23.3,36.2,86.0,56.0,8.0,9.0,-1.0,0.889,0.651,0.0,0,90.8,8.9,0.3,-0.09,-0.37,-0.21,0.837728,0.0200004879336852,-2.2231776370807963,0.128935532233883,0.128935532233883,2426.83,121.34,25.0,45.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794,0.8878,0.739,0.9754,0.9794,0.9578,0.7342,0.5828,0.66,0.544,1.0,4.068966045552662,0.0,0.79,69.78892454774822,12.051888089755805,3.9480878291643,0.975619834710744,0.0182545342914303,0.1652892561983471,0.1239669421487603
